タイトル,キーワード,総合ポイント,文字数,読了時間（分）,URL
"芋くさ令嬢ですが悪役令息を助けたら気に入られました
","女主人公 身分差 悪役令嬢 ラブコメ 芋くさ令嬢 悪役令息 婚約破棄 追放 魔法あり 本編完結済 コミカライズ 書籍化 R15
",177708,226290,453,https://ncode.syosetu.com/n2047go/
シャバの「普通」は難しい,"R15 うっかりシャバ無双 最強主人公（?） クール系ボケ主人公 メガネ侍女 無自覚 というより非常識 シリアスではないです
",176759,742538,1486,https://ncode.syosetu.com/n0641eh/
"【書籍化・コミカライズ】王太子様、私今度こそあなたに殺されたくないんです ~聖女に嵌められた貧乏令嬢、二度目は串刺し回避します!~
","女主人公 西洋 学園 魔法 ハッピーエンド やり直し 二度目の人生 魔術師 美形ヒーローが切ない 王宮 ざまぁ R15 残酷な描写あり
",176502,194528,390,https://ncode.syosetu.com/n2296gu/
"【第二部開始！】クラス転移したら、なぜか引きこもりの俺まで異世界に連れてかれたんだが　～俺だけのユニークギフト『自宅』は異世界最強でした～【書籍化・コミカライズ】
","魔王 勇者 魔法 冒険 日常 青春 剣 異世界 主人公最強 覇王 剣聖 賢者 聖女 自宅 R15 残酷な描写あり 異世界転移
",176348,255605,512,https://ncode.syosetu.com/n3960io/
"ゲーム世界転生〈ダン活〉～ゲーマーは【ダンジョン就活のススメ】を 〈はじめから〉プレイする～
","勇者 学園 ハーレム 青春 ダンジョン ゲーム世界転生 知識チート いずれ主人公最強 ステータス 掲示板 強ジョブ お宝超ゲット 成り上がり コメディ 異世界転生
",176318,6824479,13649,https://ncode.syosetu.com/n5542gs/
"【5巻12/20発売】転生陰陽師・賀茂一樹
","現代日本 陰陽師 式神 妖怪 鬼神 天狗 日本神話 掲示板回 書籍化 コミカライズ
",173442,921619,1844,https://ncode.syosetu.com/n5911hs/
"俺の前世の知識で底辺職テイマーが上級職になってしまいそうな件
","異世界 主人公最強 転生 ご都合主義 チート 成り上がり 俺TUEEEEEEE 賢者（実はテイマー） 剣と魔法 冒険者 進化 テンプレ
",173303,295309,591,https://ncode.syosetu.com/n7251fq/
"異世界迷宮の最深部を目指そう
","R15 残酷な描写あり 異世界転移 異世界迷い込み ダンジョン 恋愛 欠損 魔王 奴隷 ヤンデレ 成長 シリアス 男主人公 西洋 ハーレム チート ハッピーエンド
",173244,5025797,10052,https://ncode.syosetu.com/n0089bk/
"【コミックス５巻、発売中！】器用貧乏、城を建てる　～開拓学園の劣等生なのに、上級職のスキルと魔法がすべて使えます～
","学園 クラス 追放 ざまぁ スキルチート 職業チート ステータスチート 無双 主人公最強 聖女 錬金術 開拓 外れスキル 成り上がり 今更遅い
",172704,472489,945,https://ncode.syosetu.com/n3857gv/
"【世界最強の執事】ブラック職場を追放された俺、氷の令嬢に拾われる　～生活魔法を駆使して無双していたら、幸せな暮らしが始まりました～
","R15 残酷な描写あり 日常 冒険 ギャグ 洗濯、ベッド、お風呂 ほのぼの 魔法 ハッピーエンド チート 男主人公 ご都合主義 クーデレ ざまぁ 追放 主人公最強 成り上がり
",172424,256285,513,https://ncode.syosetu.com/n1913hg/
"【書籍化・コミカライズ１巻7/17発売】ハズレ姫は意外と愛されている？
","ハッピーエンド 年の差 前世は魔女 不遇な王女 溺愛 虐待 ざまぁ 書籍化 コミカライズ R15
",172176,398810,798,https://ncode.syosetu.com/n2913hy/
"村づくりゲームのＮＰＣが生身の人間としか思えない
","身分差 日常 ホームドラマ 人工知能 村づくり 運命の神 課金 妹
",172065,532051,1065,https://ncode.syosetu.com/n1119fh/
悪役令嬢後宮物語,"R15 残酷な描写あり ファンタジー なんちゃって異世界 傍観者でいたい主人公 勘違い系 コメディ 主人公≠ヒロイン 主人公一家最強 むしろ侍女が最強 王様×ヒロイン ？×主人公…なるか？ 王様フルボッコ ある意味王道 ハッピーエンド
",171940,1792427,3585,https://ncode.syosetu.com/n6169bb/
">
    【本編完結】辺境の錬金術師　～今更予算ゼロの職場に戻るとかもう無理～《コミックス発売！》
","R15 残酷な描写あり 追放 退職 領地開拓 男主人公 錬金術 基礎研究 主人公有能 女上司 安心のナンバーツー スクロール アルケミーパンク
",171886,591029,1183,https://ncode.syosetu.com/n9158gn/
"【WEB版】勇者の裏で暗躍していた最強のエージェント、組織が解体されたので、正体隠して人並みの日常を謳歌する
","R15 残酷な描写あり 男主人公 ファンタジー 裏社会 主人公最強 剣と魔法 異世界 勇者 魔王 ざまぁ 学園 貴族 復讐 無双 環境がチート（元） 主人公は元軍人
",171735,382361,765,https://ncode.syosetu.com/n2133fo/
"バッドエンド目前のヒロインに転生した私、 今世では恋愛するつもりがチートな兄が離してくれません！？
","ハッピーエンド 乙女ゲーム 作業ゲー 学園生活 義兄 魔法チート 強メンタル 最強ヒロインへの道 溺愛 執着 勿論ヤンデレもいます R15 異世界転生
",171292,685127,1371,https://ncode.syosetu.com/n6780gw/
"没落伯爵令嬢は家族を養いたい
","女主人公 ハッピーエンド ヒストリカル 料理 食テロ チートじゃない？ 書籍化 コミカライズ R15 残酷な描写あり 異世界転生
",170746,1209091,2419,https://ncode.syosetu.com/n8273hj/
"【5巻発売中】婚約破棄された替え玉令嬢、初恋の年上王子に溺愛される【コミック2巻発売中】
","女主人公 魔法 年の差 婚約破棄 王子 恋愛 ざまぁ 替え玉 魔道具 書籍化 R15 残酷な描写あり
",170322,497662,996,https://ncode.syosetu.com/n1031gv/
"豚貴族は未来を切り開くようです　～二十年後の自分からの手紙が全てを教えてくれました。どうやら俺はこのままでは婚約破棄され、廃嫡され、完全に人生が詰むようです。なので必死にあがいてみようと思います～
","魔王 勇者 中世 魔法 冒険 日常 青春 オリジナル戦記 ホームドラマ 剣 賢者 主人公最強(いずれ) 時空魔法 R15 残酷な描写あり
",170016,345605,692,https://ncode.syosetu.com/n8593hr/
傭兵団の料理番,"ギャグ シリアス ほのぼの ダーク 男主人公 西洋 戦国 中世 群像劇 魔法 冒険 グルメ 青春 オリジナル戦記 傭兵 異世界転移
",169778,829955,1660,https://ncode.syosetu.com/n3420cm/
"異世界ではじめる二拠点生活～空間魔法で王都と田舎をいったりきたり～
","異世界転移 日常 空間魔法 二拠点生活 中世 チート 魔法 転移
",169232,434123,869,https://ncode.syosetu.com/n0995gk/
"身体は児童、中身はおっさんの成り上がり冒険記
","R15 残酷な描写あり 異世界転生 主人公最強 魔導書 ファンタジー 成り上がり 商会運営 基本無双 隠れ領地経営 おっさん 戦争 書籍化
",169192,910171,1821,https://ncode.syosetu.com/n9984fb/
"貴腐人ローザは陰から愛を見守りたい
","R15 勘違い 現地主人公 妄想内でBL表現有り ハイスペックポンコツ
",168729,380200,761,https://ncode.syosetu.com/n5373fw/
その無限の先へ,"ダンジョン 謎の超文明 チートしたい 俺TUEEEしたい 加速するインフレ 男の娘もどきもいるよ 40% 増殖するパンダ R15 残酷な描写あり 異世界転生
",168621,3577391,7155,https://ncode.syosetu.com/n6811ck/
">
    育成スキルはもういらないと勇者パーティを解雇されたので、退職金がわりにもらった【領地】を強くしてみる
","魔王 ハーレム 内政 魔法 冒険 青春 異世界 解雇 追放 育成 領地 恋愛 友情
",168531,514622,1030,https://ncode.syosetu.com/n7411fd/
"【修復】スキルが万能チート化したので、武器屋でも開こうかと思います
","R15 残酷な描写あり 男主人公 西洋 中世 職業もの チート ダンジョン 勇者と魔王 成り上がり 武器屋 セカンドライフ スローライフ（希望） 書籍化 ←10/10第5巻 コミカライズ ←9/29第2巻
",167432,2106027,4213,https://ncode.syosetu.com/n3353fc/
煤まみれの騎士,"男主人公 追放 剣と魔法 騎士団 幼馴染み 婚約破棄 冤罪 R15 残酷な描写あり
",167294,805426,1611,https://ncode.syosetu.com/n3511hb/
"死に戻りの魔法学校生活を、元恋人とプロローグから （※ただし好感度はゼロ）
","魔法 ハッピーエンド 青春 身分差 ラブコメ 異世界ファンタジー 両片思い じれじれ いずれは尽くし系男子 一途なワンコ系女子 学校生活 学生 思春期真っ只中 すれ違い ループ R15
",166968,541336,1083,https://ncode.syosetu.com/n7481gn/
"異世界チート魔術師（マジシャン）
","R15 残酷な描写あり 異世界転移 ファンタジー 異世界トリップ チート
",166937,1274206,2549,https://ncode.syosetu.com/n7500bd/
"マヌケなFPSプレイヤーが異世界へ落ちた場合
","R15 残酷な描写あり 異世界転移 冒険 銃 OL/サラリーマン FPS 迷宮 チート 現代兵器 剣と魔法 ハイファンタジー
",166851,1087677,2176,https://ncode.syosetu.com/n4076cm/
"幼馴染のS級パーティーから追放された聖獣使い。万能支援魔法と仲間を増やして最強へ！
","R15 残酷な描写あり オリジナル戦記 復讐 ざまぁ 俺TUEEE 聖獣 男主人公 パーティー追放 成り上がり 追放
",166286,366162,733,https://ncode.syosetu.com/n3961gd/
"【翻訳】の才能で俺だけが世界を改変できる件 〜ハズレ才能【翻訳】で気付けば世界最強になってました〜
","R15 残酷な描写あり 翻訳 古代魔法 無双 異種族と話せる 魔物と話せる どんな言語も理解 冒険者生活
",165988,179790,360,https://ncode.syosetu.com/n9925gz/
最強タンクの迷宮攻略,"R15 残酷な描写あり 異世界 スキル 魔法 現地人主人公 最強 タンク 追放 ざまぁ ご都合主義 冒険者 迷宮 勇者 成り上がり 女性キャラ多め シスコン
",165973,748406,1497,https://ncode.syosetu.com/n4933ew/
"軍オタが魔法世界に転生したら、現代兵器で軍隊ハーレムを作っちゃいました！？
","R15 残酷な描写あり 異世界転生 残酷描写あり ハンドガン・銃器開発 ハーレム テンプレ
",165915,2353627,4708,https://ncode.syosetu.com/n2872bw/
"【番外編】ふつつかな悪女ではございますがWeb版
","R15 中華風 入れ替わり 番外編 おっとり豪胆ヒロイン メンタル鋼鉄 後宮
",165858,41036,83,https://ncode.syosetu.com/n6464gi/
"Free Life Fantasy Online ～人外姫様、始めました～
","R15 残酷な描写あり VRMMO 女主人公 非デスゲーム 非リアル陰謀 不死者 レイピア 死霊魔法 料理 錬金 書籍化
",165738,1391955,2784,https://ncode.syosetu.com/n8517en/
"聖女のはずが、どうやら乗っ取られました
","ほのぼの 女主人公 ハッピーエンド 乙女ゲーム 聖女 追放 魔術 恋愛は後半 ご都合主義 ざまぁは最後あたり？ ちょっとだけもふもふ 書籍化 コミカライズ R15 異世界転移
",165429,302079,605,https://ncode.syosetu.com/n0469ft/
"【ノベル4巻10/10発売】王妃になる予定でしたが、偽聖女の汚名を着せられたので逃亡したら、皇太子に溺愛されました。そちらもどうぞお幸せに。
","女主人公 ハッピーエンド 異世界 西洋ヨーロッパ風 婚約破棄 ざまあ 虐げられがちな聖女 国外追放 イケメン 王妃教育 恋愛 結婚 溺愛 R15
",165092,189773,380,https://ncode.syosetu.com/n0520gh/
"毒殺される悪役令嬢ですが、いつの間にか溺愛ルートに入っていたようで【小説・コミックス発売中☆タテスク連載中！】
","学園 ハッピーエンド 乙女ゲーム 悪役令嬢 逆行転生 デトックス 溺愛 総愛 巻き戻り もふもふ 親子愛 お父さま素敵 当て馬ちょっと可愛い 貴族 異世界転生
",165008,465292,931,https://ncode.syosetu.com/n4274hb/
